sample	hap	status	fasta	fai	t2t_pass_bed	hsat23_lifted_bed	altemose_log	t2t_chromosomes	annotation_records
CHM13	chm13v2.0	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/filfa/chm13v2.0.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/filfa/chm13v2.0.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/centro/chm13v2.0.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/hsat23/chm13v2.0.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/hsat23/chm13v2.0.HSat2and3_Regions.HSat2and3.log	24	508
HG00096	HG00096_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/centro/HG00096_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/hsat23/HG00096_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/hsat23/HG00096_hap1.HSat2and3_Regions.HSat2and3.log	13	158
HG00096	HG00096_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/centro/HG00096_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/hsat23/HG00096_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/hsat23/HG00096_hap2.HSat2and3_Regions.HSat2and3.log	16	191
HG00097	HG00097_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/centro/HG00097_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/hsat23/HG00097_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/hsat23/HG00097_hap1.HSat2and3_Regions.HSat2and3.log	16	244
HG00097	HG00097_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/centro/HG00097_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/hsat23/HG00097_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/hsat23/HG00097_hap2.HSat2and3_Regions.HSat2and3.log	14	185
HG00099	HG00099_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/centro/HG00099_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/hsat23/HG00099_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/hsat23/HG00099_hap1.HSat2and3_Regions.HSat2and3.log	16	247
HG00099	HG00099_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/centro/HG00099_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/hsat23/HG00099_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/hsat23/HG00099_hap2.HSat2and3_Regions.HSat2and3.log	16	234
HG00126	HG00126_hap1	EXCLUDE_annotation_incomplete_or_missing_input	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/filfa/HG00126_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/filfa/HG00126_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/centro/HG00126_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/hsat23/HG00126_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/hsat23/HG00126_hap1.HSat2and3_Regions.HSat2and3.log	15	0
HG00126	HG00126_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/filfa/HG00126_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/filfa/HG00126_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/centro/HG00126_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/hsat23/HG00126_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/hsat23/HG00126_hap2.HSat2and3_Regions.HSat2and3.log	16	246
HG00128	HG00128_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/centro/HG00128_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/hsat23/HG00128_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/hsat23/HG00128_hap1.HSat2and3_Regions.HSat2and3.log	15	194
