row_from_top	hap
1	HG00096_hap1
2	HG00096_hap2
3	HG00097_hap1
4	HG00097_hap2
5	HG00099_hap1
6	HG00099_hap2
7	HG00126_hap2
8	HG00128_hap1
9	HG00128_hap2
10	HG00133_hap1
11	HG00133_hap2
12	HG00140_hap1
13	HG00140_hap2
14	HG00146_hap1
15	HG00146_hap2
16	HG00171_hap1
17	HG00171_hap2
18	HG00232_hap1
19	HG00232_hap2
20	HG00235_hap1
21	HG00235_hap2
22	HG00253_hap1
23	HG00253_hap2
24	HG00268_hap1
25	HG00268_hap2
26	HG00272_hap1
27	HG00280_hap1
28	HG00280_hap2
29	HG00290_hap1
30	HG00290_hap2
31	hg002v1.1_hap1
32	hg002v1.1_hap2
33	HG00320_hap1
34	HG00320_hap2
35	HG00321_hap1
36	HG00321_hap2
37	HG00323_hap1
38	HG00323_hap2
39	HG00329_hap1
40	HG00329_hap2
41	HG00344_hap1
42	HG00344_hap2
43	HG00350_hap1
44	HG00350_hap2
45	HG00358_hap1
46	HG00358_hap2
47	HG00408_hap1
48	HG00408_hap2
49	HG00423_hap1
50	HG00423_hap2
51	HG00438_hap1
52	HG00438_hap2
53	HG00512_hap1
54	HG00512_hap2
55	HG00513_hap1
56	HG00513_hap2
57	HG00514_hap1
58	HG00514_hap2
59	HG00544_hap1
60	HG00544_hap2
61	HG00558_hap1
62	HG00558_hap2
63	HG00597_hap1
64	HG00597_hap2
65	HG00609_hap1
66	HG00609_hap2
67	HG00621_hap1
68	HG00621_hap2
69	HG00639_hap1
70	HG00639_hap2
71	HG00642_hap1
72	HG00642_hap2
73	HG00658_hap1
74	HG00658_hap2
75	HG00673_hap1
76	HG00673_hap2
77	HG00706_hap1
78	HG00706_hap2
79	HG00731_hap1
80	HG00731_hap2
81	HG00732_hap1
82	HG00732_hap2
83	HG00733_hap1
84	HG00733_hap2
85	HG00735_hap1
86	HG00735_hap2
87	HG00738_hap1
88	HG00738_hap2
89	HG00741_hap1
90	HG00741_hap2
91	HG00864_hap1
92	HG00864_hap2
93	HG01071_hap1
94	HG01071_hap2
95	HG01074_hap1
96	HG01074_hap2
97	HG01081_hap1
98	HG01081_hap2
99	HG01099_hap1
