E_strictly_greater_than	fold_enrichment	route	candidates	zero_background_candidates	present_in_at_least_90pct_haps	locally_pass_in_at_least_90pct_haps	median_prevalence_fraction	median_target_count	median_background_count	median_pooled_E
2	4	pooled	1095175	243280	274871	32561	0.6928446771378709	555.0	442.0	4.46740129905587
2	4	hap_only	36672	10391	621	0	0.012216404886561954	61.0	842.0	1.3766643317777303
2	4	union	1131847	253671	275492	32561	0.6684118673647469	537.0	444.0	4.39676550950066
4	16	pooled	682887	164633	250646	32489	0.8115183246073299	1000.0	108.0	5.325379305438434
4	16	hap_only	89854	20784	4168	0	0.10471204188481675	182.0	964.0	2.676797292775009
4	16	union	772741	185417	254814	32489	0.794066317626527	887.0	338.0	5.062438946981779
6	64	pooled	240585	38669	146680	31657	0.956369982547993	4746.0	267.0	7.451903723312447
6	64	hap_only	218348	50111	33852	0	0.4467713787085515	654.0	561.0	4.525008661345429
6	64	union	458933	88780	180532	31657	0.7958115183246073	1823.0	443.0	6.101307652538931
8	256	pooled	92946	11235	64484	23916	0.9912739965095986	18327.5	349.0	9.410621825228644
8	256	hap_only	266175	68419	82274	0	0.7190226876090751	1529.0	336.0	5.916670405936271
8	256	union	359121	79654	146758	23916	0.7993019197207679	2467.0	339.0	6.547696202577996
10	1024	pooled	34332	2931	26150	9740	0.9982547993019197	70320.5	492.0	11.269851503769763
10	1024	hap_only	125656	22670	63511	0	0.9022687609075044	5782.0	279.0	7.849879600046709
10	1024	union	159988	25601	89661	9740	0.9406631762652705	8156.0	348.0	8.304466369484764
12	4096	pooled	12111	285	9851	3101	1.0	474445.0	1477.0	13.285998917688687
12	4096	hap_only	49284	6647	32785	0	0.9808027923211169	21659.0	217.0	9.700859812264065
12	4096	union	61395	6932	42636	3101	0.9895287958115183	30360.0	407.0	10.174737621319245
14	16384	pooled	2245	19	1976	645	1.0	2375576.0	2766.0	14.429761999566072
14	16384	hap_only	19325	1413	14519	34	0.9982547993019197	108091.0	711.0	11.902493628253792
14	16384	union	21570	1432	16495	679	0.9982547993019197	138463.0	793.5	12.151105313639663
16	65536	pooled	446	0	317	19	1.0	2989030.0	254.0	16.893638594706513
16	65536	hap_only	7400	397	5838	128	1.0	553599.5	1699.0	13.54853404612864
16	65536	union	7846	397	6155	147	1.0	568567.5	1650.5	13.579372553138509
18	262144	pooled	44	0	38	0	1.0	6995837.5	127.0	18.342050771933692
18	262144	hap_only	1577	0	1389	51	1.0	2719764.0	7054.0	14.192672710931157
18	262144	union	1621	0	1427	51	1.0	2761250.0	6898.0	14.199285936576363
20	1048576	pooled	0	0	0	0				
20	1048576	hap_only	91	0	91	0	1.0	17364320.0	41646.0	14.429761999566072
20	1048576	union	91	0	91	0	1.0	17364320.0	41646.0	14.429761999566072
