column_index	hap	is_reference	fasta
0	chm13v2.0	1	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/CHM13/filfa/chm13v2.0.t2t.filtered.fasta.gz
1	HG00096_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap1.t2t.filtered.fasta.gz
2	HG00096_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00096/filfa/HG00096_hap2.t2t.filtered.fasta.gz
3	HG00097_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap1.t2t.filtered.fasta.gz
4	HG00097_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00097/filfa/HG00097_hap2.t2t.filtered.fasta.gz
5	HG00099_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap1.t2t.filtered.fasta.gz
6	HG00099_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00099/filfa/HG00099_hap2.t2t.filtered.fasta.gz
7	HG00126_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00126/filfa/HG00126_hap2.t2t.filtered.fasta.gz
8	HG00128_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap1.t2t.filtered.fasta.gz
9	HG00128_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap2.t2t.filtered.fasta.gz
10	HG00133_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap1.t2t.filtered.fasta.gz
11	HG00133_hap2	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap2.t2t.filtered.fasta.gz
12	HG00140_hap1	0	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/filfa/HG00140_hap1.t2t.filtered.fasta.gz
