log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-5.6445937399229695	-9.0	0
-5.02878225196527	-9.0	0
-6.308493070130353	-9.0	0
-6.147425330070983	-9.0	0
-6.516991542975651	-9.0	0
-5.745729763114787	-9.0	0
-6.806717507353542	-9.0	0
-8.7326425351591	-5.675645007432413	0
-6.294620812808574	-9.0	0
-6.170807702740739	-9.0	0
-6.86558117311321	-9.0	0
-5.930714907060589	-9.0	0
-5.20677671031073	-9.0	1
-6.039860467650354	-9.0	0
-9.0	-6.5260482537747	0
-6.763643871704312	-9.0	0
-8.568381728283143	-5.936840299315769	0
-5.726955409411809	-8.910687782941014	0
-9.0	-6.587268486245666	0
-7.250301629896416	-6.78509821176279	0
-9.0	-5.579232210576083	1
-5.963331721367596	-9.0	0
-7.638003615199016	-9.0	0
-9.0	-5.635505174899672	0
-6.3317528442849875	-9.0	0
-7.089376747063421	-9.0	0
-5.562870963402978	-9.0	1
-6.154552679103311	-9.0	0
-9.0	-7.655219167120971	0
-6.04199200274736	-9.0	0
-7.182698170354236	-5.696088138231373	0
-9.0	-5.762937422491308	0
-6.2735676451233875	-9.0	0
-6.4255656612564795	-9.0	0
-6.710720191668216	-9.0	0
-6.525116875495142	-9.0	0
-4.670891814537161	-9.0	1
-5.407178375356128	-9.0	0
-6.5212652235677595	-9.0	0
-6.006027778953046	-9.0	0
-6.895389415923696	-9.0	0
-5.609553365037376	-9.0	0
-6.3317528442849875	-9.0	0
-6.045567975496287	-9.0	0
-6.831064280555574	-9.0	0
-7.779021805259536	-9.0	0
-6.070100767763875	-9.0	0
-8.956107883465604	-6.181098838218711	0
-5.727941747660652	-9.0	0
-6.040417716455177	-9.0	0
-9.0	-6.253905921963374	0
-8.814813640983981	-5.956662606157642	0
-9.0	-6.399065005788219	0
-9.0	-6.886813692035937	0
-9.0	-5.402318577495329	0
-6.19012093729097	-9.0	0
-9.0	-6.476392138160301	0
-6.508270486286757	-9.0	0
-7.638003615199016	-9.0	0
-6.335236852146245	-9.0	0
-9.0	-6.555669628770105	0
-6.264726788630346	-9.0	0
-9.0	-6.304316689421309	0
-9.0	-4.845965910305749	1
-9.0	-6.383802583587686	0
-5.918332162746423	-9.0	0
-6.666326826025558	-9.0	0
-6.326627671871563	-9.0	0
-6.557392002432798	-9.0	0
-5.783653009739866	-9.0	0
-5.207476184433521	-9.0	1
-6.467790927690002	-9.0	0
-9.0	-6.2357850406116695	0
-5.75764513012346	-9.0	0
-5.839013188564207	-9.0	0
-7.174338097295424	-9.0	0
-5.683067456727147	-9.0	0
-4.233710862438743	-9.0	1
-9.0	-7.443125798761055	0
-9.0	-6.233402429156427	0
-8.956107883465604	-5.673278626499233	0
-5.926015299125423	-9.0	0
-9.0	-5.645164859076926	1
-5.417345757372004	-9.0	0
-9.0	-5.803429809893932	0
-8.814813640983981	-5.4011432452902355	0
-9.0	-6.958513608208204	0
-6.609203386957695	-9.0	0
-6.009979614676729	-9.0	0
-5.409176309008811	-9.0	1
-6.479334672016629	-9.0	0
-5.591693347301149	-9.0	0
-9.0	-6.673259092129787	0
-8.490350326028212	-7.3852644584615526	0
-6.279240895324546	-9.0	0
-6.124991376322509	-9.0	0
-6.581378991101623	-9.0	0
-6.303633679063447	-9.0	0
-4.7461739627517625	-6.9535848040241	1
-9.0	-6.377489809514802	0
-5.9983683956922675	-9.0	0
-9.0	-6.158881728474948	0
-6.109622733785037	-9.0	0
-4.179838076730814	-7.407492730353018	1
-5.5859233128547015	-9.0	0
-6.846680008265841	-9.0	0
-6.221648898221552	-7.816157474890936	0
-8.9162473954347	-6.53242084784576	0
-7.023680293416127	-5.502159610798442	0
-8.956107883465604	-5.643438105789292	0
-8.9162473954347	-5.669301342699793	0
-9.0	-6.335911833146817	0
-6.548319482453509	-9.0	0
-6.510658855721537	-9.0	0
-5.852745527718342	-9.0	0
-6.03287978891111	-9.0	0
-9.0	-7.495697370666279	0
-9.0	-7.846408471884197	0
-5.49326855523773	-9.0	0
-6.43665759403458	-9.0	0
-9.0	-6.672325506386833	0
-9.0	-5.139983885119584	1
-9.0	-5.304135247165004	0
-9.0	-6.287655334936697	0
