kmer_id	target_family	total_exact_hits	inside_broad_CenSat	outside_broad_CenSat	chromosomes_with_hits	fine_HSat3_hits	fine_HSat2_hits	fine_alphaSat_hits	fine_ct_hits	fine_outside_hits
k16_00c14d34	HSat2	7327	7311	16	12	0	7311	0	0	16
k16_0320c806	HSat3	36	36	0	1	36	0	0	0	0
k16_0534d0fa	HSat2	6814	6814	0	2	0	6814	0	0	0
k16_0560c43a	HSat3	3710	3710	0	1	3710	0	0	0	0
k16_0b34d83a	HSat2	105	105	0	2	0	105	0	0	0
k16_0d340683	HSat2	1002	1001	1	6	0	1001	0	0	1
k16_0d34d43a	HSat2	3388	3388	0	9	0	3388	0	0	0
k16_0d83a0b3	HSat2	100	100	0	2	0	100	0	0	0
k16_0e834158	HSat3	89934	89934	0	16	89934	0	0	0	0
k16_1483a0d8	HSat3	14	14	0	1	14	0	0	0	0
k16_158ba0ed	HSat3	21	21	0	2	21	0	0	0	0
k16_1d1f53d4	HSat3	43	42	1	10	42	0	0	0	1
k16_1dabe3d4	HSat3	84233	84233	0	16	84233	0	0	0	0
k16_238f53da	HSat2	12592	12592	0	7	0	12592	0	0	0
k16_281a0283	HSat3	162	159	3	11	159	0	0	0	3
k16_2d0f4f63	HSat2	3945	3945	0	2	0	3945	0	0	0
k16_2ec3c158	HSat3	34	34	0	1	34	0	0	0	0
k16_2f53c4f5	HSat3	130	129	1	7	129	0	0	0	1
k16_34d83a51	HSat2	174	174	0	4	0	174	0	0	0
k16_360e8045	HSat2	4966	4966	0	8	2	4964	0	0	0
k16_360e8560	HSat2	12614	12614	0	8	0	12614	0	0	0
k16_390e83a8	HSat3	946	943	3	15	943	0	0	0	3
k16_3a0d0662	HSat3	18661	18661	0	14	18661	0	0	0	0
k16_3a0e80c1	HSat3	268	262	6	11	262	0	0	0	6
k16_3d4f91da	HSat3	24520	24520	0	15	24520	0	0	0	0
k16_3dab53d8	HSat2	12630	12630	0	8	0	12630	0	0	0
k16_3dbf535a	HSat2	143	143	0	2	0	143	0	0	0
k16_3e476af8	HSat3	30026	30026	0	15	30026	0	0	0	0
k16_4118ba0e	HSat3	14425	14425	0	15	14425	0	0	0	0
k16_411b0a0e	HSat3	0	0	0	0	0	0	0	0	0
k16_43143e38	HSat2	7084	7081	3	5	0	7081	0	0	3
k16_43a0e814	HSat3	303	301	2	10	300	0	0	1	2
k16_476afbf4	HSat3	17	17	0	6	17	0	0	0	0
k16_4d01a0d0	HSat2	1882	1882	0	8	0	1882	0	0	0
k16_4d83a118	HSat2	3179	3179	0	8	0	3179	0	0	0
k16_4f5be4f5	HSat3	6644	6643	1	16	6643	0	0	0	1
k16_4f62d4e8	HSat2	12830	12830	0	7	0	12830	0	0	0
k16_4f6fd4d6	HSat2	7572	7572	0	6	0	7572	0	0	0
k16_51d8e3d4	HSat2	9801	9801	0	8	0	9801	0	0	0
k16_51da7e3d	HSat3	214	214	0	10	214	0	0	0	0
k16_51dabc3c	HSat3	35	35	0	1	35	0	0	0	0
k16_53d43eac	HSat3	39	38	1	4	38	0	0	0	1
k16_562e83b4	HSat3	22	21	1	3	21	0	0	0	1
k16_583a0d74	HSat2	7180	7180	0	5	0	7180	0	0	0
k16_60e83458	HSat2	7329	7329	0	8	0	7329	0	0	0
k16_60e836d1	HSat2	99	99	0	4	0	99	0	0	0
k16_6214f638	HSat2	20465	20464	1	9	0	20464	0	0	1
k16_62e83a02	HSat3	7115	7115	0	14	7115	0	0	0	0
k16_62e83f06	HSat3	4	4	0	2	4	0	0	0	0
k16_63d47638	HSat2	9745	9745	0	8	0	9745	0	0	0
k16_63e4f600	HSat2	65	65	0	2	0	65	0	0	0
k16_66fbf53d	HSat3	157	157	0	6	157	0	0	0	0
k16_6834d350	HSat2	177	177	0	6	0	177	0	0	0
k16_69f8f53d	HSat3	319	319	0	12	319	0	0	0	0
k16_6c53d4f5	HSat3	11569	11569	0	14	11569	0	0	0	0
k16_6f12d4f5	HSat3	137	137	0	9	137	0	0	0	0
k16_75ee83a0	HSat3	34	33	1	4	33	0	0	0	1
k16_7c6efbf4	HSat3	0	0	0	0	0	0	0	0	0
k16_80a0d3cd	HSat2	138	133	5	8	0	133	0	0	5
k16_8320d364	HSat2	1884	1884	0	3	0	1884	0	0	0
k16_83415831	HSat3	165	165	0	1	165	0	0	0	0
k16_8b53d0e1	HSat2	1697	1695	2	10	1	1694	0	0	2
k16_8ba0e809	HSat3	254	252	2	14	252	0	0	0	2
k16_8f53d4f9	HSat3	72263	72261	2	19	72235	25	0	0	3
k16_90ec3acc	HSat3	153	153	0	5	153	0	0	0	0
k16_93d803d4	HSat2	64	64	0	2	0	64	0	0	0
k16_a0d0562c	HSat3	18152	18152	0	14	18152	0	0	0	0
k16_a0d364c8	HSat2	15110	15109	1	5	0	15109	0	0	1
k16_a0e834c5	HSat3	40	39	1	4	39	0	0	0	1
k16_b60e8760	HSat2	2171	2171	0	10	9	2162	0	0	0
k16_c1fd4350	HSat3	36	35	1	2	35	0	0	0	1
k16_d34583a0	HSat2	190	190	0	7	0	190	0	0	0
