kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_00c14d34	HSat2	G1	158	4000.5	3646.721518987342	84.75	6117.75	214.8710216424617	158
k16_00c14d34	HSat2	G2	42	3302.5	3292.8571428571427	32.25	5838.25	196.17631365278152	42
k16_00c14d34	HSat2	G3	289	4413.0	3817.2249134948097	25.0	6436.0	226.7227458438019	289
k16_00c14d34	HSat2	NA	84	2161.0	2981.845238095238	26.5	5512.25	128.08375522506898	84
k16_0320c806	HSat3	G1	59	84.0	75.77966101694915	42.0	103.0	4.776881034115468	59
k16_0320c806	HSat3	G2	54	4.0	4.296296296296297	4.0	4.0	0.2560259559608383	54
k16_0320c806	HSat3	G3	70	0.0	0.0	0.0	0.0	0.0	70
k16_0320c806	HSat3	G4	39	4.0	4.461538461538462	0.0	4.0	0.21660724498165687	39
k16_0320c806	HSat3	G5	47	49.0	56.8936170212766	21.0	90.0	3.844461266632251	47
k16_0320c806	HSat3	G6	47	4.0	4.042553191489362	4.0	4.0	0.2517774385636299	47
k16_0320c806	HSat3	G7	126	0.0	0.0	0.0	0.0	0.0	126
k16_0320c806	HSat3	NA	131	0.0	11.083969465648854	0.0	4.0	0.0	131
k16_0534d0fa	HSat2	G1	158	3977.0	3558.9050632911394	72.0	6028.0	213.12103818809345	158
k16_0534d0fa	HSat2	G2	42	3333.0	3244.3333333333335	30.75	5881.5	198.92991324210863	42
k16_0534d0fa	HSat2	G3	289	4405.0	3727.4809688581313	23.0	6220.0	222.68783663487025	289
k16_0534d0fa	HSat2	NA	84	2186.0	2885.5119047619046	22.75	5317.75	123.54075966713928	84
k16_0560c43a	HSat3	G1	59	1789.0	1545.084745762712	1353.5	2109.0	98.60045565052926	59
k16_0560c43a	HSat3	G2	54	1698.5	1590.0555555555557	1317.75	2090.0	103.52059827523829	54
k16_0560c43a	HSat3	G3	70	1755.5	1587.8142857142857	1252.25	2186.25	102.48725432776114	70
k16_0560c43a	HSat3	G4	39	1579.0	1270.2307692307693	1.5	2009.5	95.86692248842085	39
k16_0560c43a	HSat3	G5	47	1886.0	1685.276595744681	1497.0	2221.5	100.8403551237634	47
k16_0560c43a	HSat3	G6	47	1577.0	1433.1489361702127	1324.5	1755.5	98.2783842056957	47
k16_0560c43a	HSat3	G7	126	1601.5	1503.1349206349207	1184.75	2141.0	98.10533909125994	126
k16_0560c43a	HSat3	NA	131	1671.0	1434.9236641221373	18.0	2086.0	104.53929034135876	131
k16_0b34d83a	HSat2	G1	158	19.5	39.11392405063291	0.0	43.0	1.0891917905958883	158
k16_0b34d83a	HSat2	G2	42	38.5	50.0	4.0	63.0	3.065981744907822	42
k16_0b34d83a	HSat2	G3	289	70.0	85.3044982698962	41.0	99.0	4.159358145364094	289
k16_0b34d83a	HSat2	NA	84	40.5	59.273809523809526	3.0	71.75	2.6257363096672375	84
k16_0d340683	HSat2	G1	158	585.0	548.4303797468355	380.75	732.75	33.371353919646765	158
k16_0d340683	HSat2	G2	42	568.5	475.07142857142856	229.25	691.0	30.659824703285288	42
