kmer_id	strict_pan_pass_0mm	strict_pan_pass_le1mm	strict_pan_pass_le2mm	robustness_tier
k16_00c14d34	0	0	0	D_fails_exact_strict
k16_0320c806	0	0	0	D_fails_exact_strict
k16_0534d0fa	1	1	0	B_le1mm
k16_0560c43a	0	1	1	A_le2mm
k16_0b34d83a	0	0	0	D_fails_exact_strict
k16_0d340683	1	0	0	C_exact
k16_0d34d43a	0	0	0	D_fails_exact_strict
k16_0d83a0b3	0	0	0	D_fails_exact_strict
k16_0e834158	1	0	0	C_exact
k16_1483a0d8	0	0	0	D_fails_exact_strict
k16_158ba0ed	0	1	1	A_le2mm
k16_1d1f53d4	0	0	0	D_fails_exact_strict
k16_1dabe3d4	1	1	0	B_le1mm
k16_238f53da	1	0	0	C_exact
k16_281a0283	0	0	0	D_fails_exact_strict
k16_2d0f4f63	0	0	0	D_fails_exact_strict
k16_2ec3c158	0	1	0	B_le1mm
k16_2f53c4f5	0	0	0	D_fails_exact_strict
k16_34d83a51	1	1	1	A_le2mm
k16_360e8045	1	0	0	C_exact
k16_360e8560	1	0	0	C_exact
k16_390e83a8	1	0	0	C_exact
k16_3a0d0662	1	1	0	B_le1mm
k16_3a0e80c1	0	0	0	D_fails_exact_strict
k16_3d4f91da	1	1	0	B_le1mm
k16_3dab53d8	1	0	0	C_exact
k16_3dbf535a	1	0	0	C_exact
k16_3e476af8	1	1	1	A_le2mm
k16_4118ba0e	1	1	1	A_le2mm
k16_411b0a0e	0	0	0	D_fails_exact_strict
k16_43143e38	0	0	0	D_fails_exact_strict
k16_43a0e814	1	0	0	C_exact
k16_476afbf4	0	1	1	A_le2mm
k16_4d01a0d0	1	0	0	C_exact
k16_4d83a118	1	0	0	C_exact
k16_4f5be4f5	1	0	0	C_exact
k16_4f62d4e8	1	0	0	C_exact
k16_4f6fd4d6	1	0	0	C_exact
k16_51d8e3d4	1	0	0	C_exact
k16_51da7e3d	1	1	1	A_le2mm
k16_51dabc3c	0	0	0	D_fails_exact_strict
k16_53d43eac	0	1	0	B_le1mm
k16_562e83b4	0	1	1	A_le2mm
k16_583a0d74	1	0	0	C_exact
k16_60e83458	1	0	0	C_exact
k16_60e836d1	1	0	0	C_exact
k16_6214f638	1	1	0	B_le1mm
k16_62e83a02	1	0	0	C_exact
k16_62e83f06	0	0	0	D_fails_exact_strict
k16_63d47638	1	0	0	C_exact
k16_63e4f600	0	1	0	B_le1mm
k16_66fbf53d	0	1	0	B_le1mm
k16_6834d350	1	1	0	B_le1mm
k16_69f8f53d	1	1	0	B_le1mm
k16_6c53d4f5	1	0	0	C_exact
k16_6f12d4f5	0	0	0	D_fails_exact_strict
k16_75ee83a0	0	0	0	D_fails_exact_strict
k16_7c6efbf4	0	0	0	D_fails_exact_strict
k16_80a0d3cd	0	0	0	D_fails_exact_strict
k16_8320d364	1	1	0	B_le1mm
k16_83415831	0	1	0	B_le1mm
k16_8b53d0e1	1	0	0	C_exact
k16_8ba0e809	1	0	0	C_exact
k16_8f53d4f9	0	0	0	D_fails_exact_strict
k16_90ec3acc	1	0	0	C_exact
k16_93d803d4	0	1	0	B_le1mm
k16_a0d0562c	1	1	1	A_le2mm
k16_a0d364c8	1	1	0	B_le1mm
k16_a0e834c5	0	0	0	D_fails_exact_strict
k16_b60e8760	0	0	0	D_fails_exact_strict
k16_c1fd4350	0	0	0	D_fails_exact_strict
k16_d34583a0	1	0	0	C_exact
