kmer_id	HSat3_group	hap_count	median_HSat3_hits	mean_HSat3_hits	q25_HSat3_hits	q75_HSat3_hits	median_HSat3_density_per_M	mean_HSat3_density_per_M
k16_3e476af8	G1	59	14461.0	12543.762711864407	11210.0	17240.0	796.5451441117468	673.7919358189959
k16_3e476af8	G2	54	13736.5	12611.166666666666	10410.0	15829.5	829.9733532061496	708.7847384599196
k16_3e476af8	G3	70	14060.5	12597.2	9565.5	17077.5	821.4335369743569	684.4864679410656
k16_3e476af8	G4	39	13681.0	10603.076923076924	575.5	16289.0	801.8528394914389	600.334066057144
k16_3e476af8	G5	47	15257.0	13662.851063829787	12268.0	17434.0	808.8300956272936	692.6759723256191
k16_3e476af8	G6	47	12928.0	11673.468085106382	11092.5	14477.5	804.2873190554836	698.3351527713743
k16_3e476af8	G7	126	13248.5	12200.103174603175	9273.25	16601.0	804.2913950762563	677.2272251170334
k16_3e476af8	NA	131	13107.0	11506.458015267175	547.0	16746.0	832.2626909899266	668.7120224119067
k16_a0d0562c	G1	59	8437.0	7348.576271186441	6539.5	9927.5	465.70957461998825	393.35633621435977
k16_a0d0562c	G2	54	8144.0	7459.537037037037	6098.25	9323.0	490.929488946951	417.38782105319564
k16_a0d0562c	G3	70	8504.0	7513.914285714286	5656.75	10354.75	487.33045801540754	406.19984247044766
k16_a0d0562c	G4	39	7675.0	6156.333333333333	178.0	9670.5	452.6936866896083	341.99918900998
k16_a0d0562c	G5	47	9117.0	7994.31914893617	7138.5	10118.5	474.3581323866885	402.7373982926996
k16_a0d0562c	G6	47	7465.0	6802.531914893617	6339.5	8360.0	466.4538166638274	400.116197733459
k16_a0d0562c	G7	126	7833.5	7152.341269841269	5569.75	9681.25	470.91668866060706	391.0881509781783
k16_a0d0562c	NA	131	7670.0	6782.412213740458	183.5	9757.5	489.3509880827822	387.4442068481339
k16_4118ba0e	G1	59	7053.0	6113.728813559322	5646.5	7949.0	382.8219107558218	357.6408159829033
k16_4118ba0e	G2	54	6319.0	5831.259259259259	4945.5	7207.5	379.4424771314548	347.4831910647284
k16_4118ba0e	G3	70	6809.0	6076.285714285715	4690.25	7946.5	385.0012768092364	356.61007510389567
k16_4118ba0e	G4	39	6298.0	5081.384615384615	961.0	7438.5	370.6305979368248	321.1890025729557
k16_4118ba0e	G5	47	7152.0	6527.404255319149	6004.0	8159.0	381.62988456595536	350.92972274571395
k16_4118ba0e	G6	47	5948.0	5415.36170212766	5031.0	6631.5	368.4647870564066	338.4846361363382
k16_4118ba0e	G7	126	6304.0	5840.976190476191	4638.25	7711.0	382.7809203618451	348.46001742603454
k16_4118ba0e	NA	131	5900.0	5338.4503816793895	849.5	7734.0	385.9993336389204	334.1602190221656
