kmer_id	chromosome	chromosome_length_bp	HSat3_hits	HSat2_hits	HSat23_ambiguous_hits	background_or_boundary_hits	total_hits	forward_hits	reverse_hits
k16_3e476af8	chr1	248387328	10	0	0	0	10	2	8
k16_3e476af8	chr2	242696752	2	0	0	0	2	1	1
k16_3e476af8	chr3	201105948	1	0	0	0	1	0	1
k16_3e476af8	chr4	193574945	2	0	0	0	2	2	0
k16_3e476af8	chr5	182045439	178	0	0	0	178	178	0
k16_3e476af8	chr6	172126628	0	0	0	0	0	0	0
k16_3e476af8	chr7	160567428	31	0	0	0	31	24	7
k16_3e476af8	chr8	146259331	0	0	0	0	0	0	0
k16_3e476af8	chr9	150617247	29581	0	0	0	29581	14516	15065
k16_3e476af8	chr10	134758134	50	0	0	0	50	33	17
k16_3e476af8	chr11	135127769	0	0	0	0	0	0	0
k16_3e476af8	chr12	133324548	0	0	0	0	0	0	0
k16_3e476af8	chr13	113566686	5	0	0	0	5	4	1
k16_3e476af8	chr14	101161492	30	0	0	0	30	11	19
k16_3e476af8	chr15	99753195	4	0	0	0	4	3	1
k16_3e476af8	chr16	96330374	0	0	0	0	0	0	0
k16_3e476af8	chr17	84276897	11	0	0	0	11	9	2
k16_3e476af8	chr18	80542538	0	0	0	0	0	0	0
k16_3e476af8	chr19	61707364	0	0	0	0	0	0	0
k16_3e476af8	chr20	66210255	37	0	0	0	37	0	37
k16_3e476af8	chr21	45090682	20	0	0	0	20	0	20
k16_3e476af8	chr22	51324926	64	0	0	0	64	16	48
k16_3e476af8	chrX	154259566	0	0	0	0	0	0	0
k16_3e476af8	chrY	62460029	0	0	0	0	0	0	0
k16_a0d0562c	chr1	248387328	15	0	0	0	15	6	9
k16_a0d0562c	chr2	242696752	0	0	0	0	0	0	0
k16_a0d0562c	chr3	201105948	1	0	0	0	1	1	0
k16_a0d0562c	chr4	193574945	4	0	0	0	4	0	4
k16_a0d0562c	chr5	182045439	23	0	0	0	23	0	23
k16_a0d0562c	chr6	172126628	0	0	0	0	0	0	0
k16_a0d0562c	chr7	160567428	14	0	0	0	14	2	12
k16_a0d0562c	chr8	146259331	0	0	0	0	0	0	0
k16_a0d0562c	chr9	150617247	17852	0	0	0	17852	8945	8907
k16_a0d0562c	chr10	134758134	57	0	0	0	57	17	40
k16_a0d0562c	chr11	135127769	0	0	0	0	0	0	0
k16_a0d0562c	chr12	133324548	0	0	0	0	0	0	0
k16_a0d0562c	chr13	113566686	56	0	0	0	56	1	55
k16_a0d0562c	chr14	101161492	58	0	0	0	58	1	57
k16_a0d0562c	chr15	99753195	7	0	0	0	7	5	2
k16_a0d0562c	chr16	96330374	0	0	0	0	0	0	0
k16_a0d0562c	chr17	84276897	4	0	0	0	4	0	4
k16_a0d0562c	chr18	80542538	0	0	0	0	0	0	0
k16_a0d0562c	chr19	61707364	0	0	0	0	0	0	0
k16_a0d0562c	chr20	66210255	36	0	0	0	36	36	0
k16_a0d0562c	chr21	45090682	18	0	0	0	18	18	0
k16_a0d0562c	chr22	51324926	7	0	0	0	7	1	6
k16_a0d0562c	chrX	154259566	0	0	0	0	0	0	0
k16_a0d0562c	chrY	62460029	0	0	0	0	0	0	0
k16_4118ba0e	chr1	248387328	59	0	0	0	59	48	11
k16_4118ba0e	chr2	242696752	10	0	0	0	10	5	5
k16_4118ba0e	chr3	201105948	0	0	0	0	0	0	0
k16_4118ba0e	chr4	193574945	9	0	0	0	9	0	9
k16_4118ba0e	chr5	182045439	139	0	0	0	139	0	139
k16_4118ba0e	chr6	172126628	0	0	0	0	0	0	0
k16_4118ba0e	chr7	160567428	124	0	0	0	124	27	97
k16_4118ba0e	chr8	146259331	0	0	0	0	0	0	0
k16_4118ba0e	chr9	150617247	12853	0	0	0	12853	6545	6308
k16_4118ba0e	chr10	134758134	55	0	0	0	55	45	10
k16_4118ba0e	chr11	135127769	0	0	0	0	0	0	0
k16_4118ba0e	chr12	133324548	0	0	0	0	0	0	0
k16_4118ba0e	chr13	113566686	91	0	0	0	91	38	53
k16_4118ba0e	chr14	101161492	245	0	0	0	245	180	65
k16_4118ba0e	chr15	99753195	91	0	0	0	91	83	8
k16_4118ba0e	chr16	96330374	0	0	0	0	0	0	0
k16_4118ba0e	chr17	84276897	45	0	0	0	45	8	37
k16_4118ba0e	chr18	80542538	0	0	0	0	0	0	0
k16_4118ba0e	chr19	61707364	0	0	0	0	0	0	0
k16_4118ba0e	chr20	66210255	335	0	0	0	335	335	0
k16_4118ba0e	chr21	45090682	181	0	0	0	181	179	2
k16_4118ba0e	chr22	51324926	187	0	0	0	187	115	72
k16_4118ba0e	chrX	154259566	0	0	0	0	0	0	0
k16_4118ba0e	chrY	62460029	1	0	0	0	1	0	1
