hap	chromosome	region	interval_count	bp	ACGT_bp	non_ACGT_bp	valid_16mer_starts
chm13v2.0	chr1	HSat2	7	13922804	13922804	0	13922699
chm13v2.0	chr1	HSat3	4	443788	443788	0	443728
chm13v2.0	chr1	HSat23	11	14366592	14366592	0	14366427
chm13v2.0	chr1	ambiguous	0	0	0	0	0
chm13v2.0	chr1	background	12	234020736	234020736	0	234020576
chm13v2.0	chr10	HSat2	4	470187	470187	0	470127
chm13v2.0	chr10	HSat3	6	735732	735732	0	735642
chm13v2.0	chr10	HSat23	8	1205919	1205919	0	1205799
chm13v2.0	chr10	ambiguous	0	0	0	0	0
chm13v2.0	chr10	background	9	133552215	133552215	0	133552080
chm13v2.0	chr11	HSat2	0	0	0	0	0
chm13v2.0	chr11	HSat3	0	0	0	0	0
chm13v2.0	chr11	HSat23	0	0	0	0	0
chm13v2.0	chr11	ambiguous	0	0	0	0	0
chm13v2.0	chr11	background	1	135127769	135127769	0	135127754
chm13v2.0	chr12	HSat2	0	0	0	0	0
chm13v2.0	chr12	HSat3	0	0	0	0	0
chm13v2.0	chr12	HSat23	0	0	0	0	0
chm13v2.0	chr12	ambiguous	0	0	0	0	0
chm13v2.0	chr12	background	1	133324548	133324548	0	133324533
chm13v2.0	chr13	HSat2	0	0	0	0	0
chm13v2.0	chr13	HSat3	16	1055420	1055420	0	1055180
chm13v2.0	chr13	HSat23	16	1055420	1055420	0	1055180
chm13v2.0	chr13	ambiguous	0	0	0	0	0
chm13v2.0	chr13	background	17	112511266	112511266	0	112511011
chm13v2.0	chr14	HSat2	0	0	0	0	0
chm13v2.0	chr14	HSat3	26	1883560	1883560	0	1883170
chm13v2.0	chr14	HSat23	26	1883560	1883560	0	1883170
chm13v2.0	chr14	ambiguous	0	0	0	0	0
chm13v2.0	chr14	background	27	99277932	99277932	0	99277552
chm13v2.0	chr15	HSat2	0	0	0	0	0
chm13v2.0	chr15	HSat3	14	8750038	8750038	0	8749828
chm13v2.0	chr15	HSat23	14	8750038	8750038	0	8749828
chm13v2.0	chr15	ambiguous	0	0	0	0	0
chm13v2.0	chr15	background	15	91003157	91003157	0	91002932
chm13v2.0	chr16	HSat2	18	12969981	12969981	0	12969711
chm13v2.0	chr16	HSat3	5	17175	17175	0	17100
