kmer_id	chromosome	bin_1Mb	bin_start_0based	bin_end_0based	region	exact_hits
k16_3e476af8	chr1	127	127000000	128000000	HSat3	10
k16_3e476af8	chr2	89	89000000	90000000	HSat3	1
k16_3e476af8	chr2	90	90000000	91000000	HSat3	1
k16_3e476af8	chr3	95	95000000	96000000	HSat3	1
k16_3e476af8	chr4	49	49000000	50000000	HSat3	2
k16_3e476af8	chr5	49	49000000	50000000	HSat3	178
k16_3e476af8	chr7	58	58000000	59000000	HSat3	29
k16_3e476af8	chr7	59	59000000	60000000	HSat3	2
k16_3e476af8	chr9	48	48000000	49000000	HSat3	132
k16_3e476af8	chr9	49	49000000	50000000	HSat3	1056
k16_3e476af8	chr9	50	50000000	51000000	HSat3	1160
k16_3e476af8	chr9	51	51000000	52000000	HSat3	1048
k16_3e476af8	chr9	52	52000000	53000000	HSat3	1018
k16_3e476af8	chr9	53	53000000	54000000	HSat3	1111
k16_3e476af8	chr9	54	54000000	55000000	HSat3	983
k16_3e476af8	chr9	55	55000000	56000000	HSat3	1046
k16_3e476af8	chr9	56	56000000	57000000	HSat3	1079
k16_3e476af8	chr9	57	57000000	58000000	HSat3	1056
k16_3e476af8	chr9	58	58000000	59000000	HSat3	1102
k16_3e476af8	chr9	59	59000000	60000000	HSat3	1017
k16_3e476af8	chr9	60	60000000	61000000	HSat3	1160
k16_3e476af8	chr9	61	61000000	62000000	HSat3	1026
k16_3e476af8	chr9	62	62000000	63000000	HSat3	1116
k16_3e476af8	chr9	63	63000000	64000000	HSat3	1056
k16_3e476af8	chr9	64	64000000	65000000	HSat3	1028
k16_3e476af8	chr9	65	65000000	66000000	HSat3	1011
k16_3e476af8	chr9	66	66000000	67000000	HSat3	1038
k16_3e476af8	chr9	67	67000000	68000000	HSat3	1075
k16_3e476af8	chr9	68	68000000	69000000	HSat3	1088
k16_3e476af8	chr9	69	69000000	70000000	HSat3	1078
k16_3e476af8	chr9	70	70000000	71000000	HSat3	1066
k16_3e476af8	chr9	71	71000000	72000000	HSat3	1109
k16_3e476af8	chr9	72	72000000	73000000	HSat3	1104
k16_3e476af8	chr9	73	73000000	74000000	HSat3	1124
k16_3e476af8	chr9	74	74000000	75000000	HSat3	994
k16_3e476af8	chr9	75	75000000	76000000	HSat3	1055
k16_3e476af8	chr9	76	76000000	77000000	HSat3	645
k16_3e476af8	chr10	42	42000000	43000000	HSat3	50
k16_3e476af8	chr13	5	5000000	6000000	HSat3	1
k16_3e476af8	chr13	9	9000000	10000000	HSat3	4
k16_3e476af8	chr14	0	0	1000000	HSat3	3
k16_3e476af8	chr14	1	1000000	2000000	HSat3	11
k16_3e476af8	chr14	3	3000000	4000000	HSat3	11
k16_3e476af8	chr14	5	5000000	6000000	HSat3	5
k16_3e476af8	chr15	1	1000000	2000000	HSat3	1
k16_3e476af8	chr15	5	5000000	6000000	HSat3	3
k16_3e476af8	chr17	21	21000000	22000000	HSat3	4
k16_3e476af8	chr17	22	22000000	23000000	HSat3	7
k16_3e476af8	chr20	32	32000000	33000000	HSat3	37
k16_3e476af8	chr21	2	2000000	3000000	HSat3	1
k16_3e476af8	chr21	6	6000000	7000000	HSat3	1
k16_3e476af8	chr21	7	7000000	8000000	HSat3	18
k16_3e476af8	chr22	2	2000000	3000000	HSat3	1
k16_3e476af8	chr22	3	3000000	4000000	HSat3	1
k16_3e476af8	chr22	7	7000000	8000000	HSat3	16
k16_3e476af8	chr22	10	10000000	11000000	HSat3	46
k16_a0d0562c	chr1	127	127000000	128000000	HSat3	9
k16_a0d0562c	chr1	128	128000000	129000000	HSat3	6
k16_a0d0562c	chr3	95	95000000	96000000	HSat3	1
k16_a0d0562c	chr4	49	49000000	50000000	HSat3	4
k16_a0d0562c	chr5	49	49000000	50000000	HSat3	23
k16_a0d0562c	chr7	58	58000000	59000000	HSat3	13
k16_a0d0562c	chr7	59	59000000	60000000	HSat3	1
k16_a0d0562c	chr9	48	48000000	49000000	HSat3	12
k16_a0d0562c	chr9	49	49000000	50000000	HSat3	530
k16_a0d0562c	chr9	50	50000000	51000000	HSat3	731
k16_a0d0562c	chr9	51	51000000	52000000	HSat3	738
k16_a0d0562c	chr9	52	52000000	53000000	HSat3	627
k16_a0d0562c	chr9	53	53000000	54000000	HSat3	640
k16_a0d0562c	chr9	54	54000000	55000000	HSat3	558
k16_a0d0562c	chr9	55	55000000	56000000	HSat3	636
k16_a0d0562c	chr9	56	56000000	57000000	HSat3	730
k16_a0d0562c	chr9	57	57000000	58000000	HSat3	607
k16_a0d0562c	chr9	58	58000000	59000000	HSat3	669
k16_a0d0562c	chr9	59	59000000	60000000	HSat3	696
k16_a0d0562c	chr9	60	60000000	61000000	HSat3	657
k16_a0d0562c	chr9	61	61000000	62000000	HSat3	616
k16_a0d0562c	chr9	62	62000000	63000000	HSat3	626
k16_a0d0562c	chr9	63	63000000	64000000	HSat3	732
k16_a0d0562c	chr9	64	64000000	65000000	HSat3	576
k16_a0d0562c	chr9	65	65000000	66000000	HSat3	599
k16_a0d0562c	chr9	66	66000000	67000000	HSat3	640
k16_a0d0562c	chr9	67	67000000	68000000	HSat3	699
k16_a0d0562c	chr9	68	68000000	69000000	HSat3	556
k16_a0d0562c	chr9	69	69000000	70000000	HSat3	731
k16_a0d0562c	chr9	70	70000000	71000000	HSat3	675
k16_a0d0562c	chr9	71	71000000	72000000	HSat3	625
k16_a0d0562c	chr9	72	72000000	73000000	HSat3	604
k16_a0d0562c	chr9	73	73000000	74000000	HSat3	687
k16_a0d0562c	chr9	74	74000000	75000000	HSat3	577
k16_a0d0562c	chr9	75	75000000	76000000	HSat3	699
k16_a0d0562c	chr9	76	76000000	77000000	HSat3	379
k16_a0d0562c	chr10	42	42000000	43000000	HSat3	57
k16_a0d0562c	chr13	5	5000000	6000000	HSat3	1
k16_a0d0562c	chr13	9	9000000	10000000	HSat3	2
k16_a0d0562c	chr13	10	10000000	11000000	HSat3	53
k16_a0d0562c	chr14	1	1000000	2000000	HSat3	1
k16_a0d0562c	chr14	3	3000000	4000000	HSat3	49
k16_a0d0562c	chr14	4	4000000	5000000	HSat3	8
k16_a0d0562c	chr15	1	1000000	2000000	HSat3	5
k16_a0d0562c	chr15	5	5000000	6000000	HSat3	2
k16_a0d0562c	chr17	22	22000000	23000000	HSat3	4
k16_a0d0562c	chr20	32	32000000	33000000	HSat3	36
k16_a0d0562c	chr21	1	1000000	2000000	HSat3	1
k16_a0d0562c	chr21	2	2000000	3000000	HSat3	1
k16_a0d0562c	chr21	6	6000000	7000000	HSat3	2
k16_a0d0562c	chr21	7	7000000	8000000	HSat3	14
k16_a0d0562c	chr22	3	3000000	4000000	HSat3	1
k16_a0d0562c	chr22	7	7000000	8000000	HSat3	6
k16_4118ba0e	chr1	127	127000000	128000000	HSat3	57
k16_4118ba0e	chr1	128	128000000	129000000	HSat3	2
k16_4118ba0e	chr2	89	89000000	90000000	HSat3	5
k16_4118ba0e	chr2	90	90000000	91000000	HSat3	5
k16_4118ba0e	chr4	49	49000000	50000000	HSat3	9
k16_4118ba0e	chr5	49	49000000	50000000	HSat3	139
k16_4118ba0e	chr7	58	58000000	59000000	HSat3	111
k16_4118ba0e	chr7	59	59000000	60000000	HSat3	13
k16_4118ba0e	chr9	48	48000000	49000000	HSat3	87
k16_4118ba0e	chr9	49	49000000	50000000	HSat3	419
k16_4118ba0e	chr9	50	50000000	51000000	HSat3	539
k16_4118ba0e	chr9	51	51000000	52000000	HSat3	505
k16_4118ba0e	chr9	52	52000000	53000000	HSat3	418
k16_4118ba0e	chr9	53	53000000	54000000	HSat3	461
k16_4118ba0e	chr9	54	54000000	55000000	HSat3	437
k16_4118ba0e	chr9	55	55000000	56000000	HSat3	483
k16_4118ba0e	chr9	56	56000000	57000000	HSat3	505
k16_4118ba0e	chr9	57	57000000	58000000	HSat3	495
k16_4118ba0e	chr9	58	58000000	59000000	HSat3	457
k16_4118ba0e	chr9	59	59000000	60000000	HSat3	471
k16_4118ba0e	chr9	60	60000000	61000000	HSat3	435
k16_4118ba0e	chr9	61	61000000	62000000	HSat3	422
k16_4118ba0e	chr9	62	62000000	63000000	HSat3	466
k16_4118ba0e	chr9	63	63000000	64000000	HSat3	484
k16_4118ba0e	chr9	64	64000000	65000000	HSat3	392
k16_4118ba0e	chr9	65	65000000	66000000	HSat3	450
k16_4118ba0e	chr9	66	66000000	67000000	HSat3	473
k16_4118ba0e	chr9	67	67000000	68000000	HSat3	483
k16_4118ba0e	chr9	68	68000000	69000000	HSat3	465
k16_4118ba0e	chr9	69	69000000	70000000	HSat3	491
k16_4118ba0e	chr9	70	70000000	71000000	HSat3	452
k16_4118ba0e	chr9	71	71000000	72000000	HSat3	432
k16_4118ba0e	chr9	72	72000000	73000000	HSat3	460
k16_4118ba0e	chr9	73	73000000	74000000	HSat3	536
k16_4118ba0e	chr9	74	74000000	75000000	HSat3	415
k16_4118ba0e	chr9	75	75000000	76000000	HSat3	472
k16_4118ba0e	chr9	76	76000000	77000000	HSat3	248
k16_4118ba0e	chr10	42	42000000	43000000	HSat3	55
k16_4118ba0e	chr13	0	0	1000000	HSat3	38
k16_4118ba0e	chr13	9	9000000	10000000	HSat3	5
k16_4118ba0e	chr13	10	10000000	11000000	HSat3	46
k16_4118ba0e	chr13	11	11000000	12000000	HSat3	2
k16_4118ba0e	chr14	0	0	1000000	HSat3	28
k16_4118ba0e	chr14	1	1000000	2000000	HSat3	144
k16_4118ba0e	chr14	3	3000000	4000000	HSat3	64
k16_4118ba0e	chr14	4	4000000	5000000	HSat3	2
k16_4118ba0e	chr14	5	5000000	6000000	HSat3	4
k16_4118ba0e	chr14	6	6000000	7000000	HSat3	1
k16_4118ba0e	chr14	7	7000000	8000000	HSat3	2
k16_4118ba0e	chr15	1	1000000	2000000	HSat3	83
k16_4118ba0e	chr15	5	5000000	6000000	HSat3	6
k16_4118ba0e	chr15	15	15000000	16000000	HSat3	2
k16_4118ba0e	chr17	21	21000000	22000000	HSat3	17
k16_4118ba0e	chr17	22	22000000	23000000	HSat3	28
k16_4118ba0e	chr20	32	32000000	33000000	HSat3	335
k16_4118ba0e	chr21	1	1000000	2000000	HSat3	62
k16_4118ba0e	chr21	6	6000000	7000000	HSat3	55
k16_4118ba0e	chr21	7	7000000	8000000	HSat3	62
k16_4118ba0e	chr21	8	8000000	9000000	HSat3	2
k16_4118ba0e	chr22	2	2000000	3000000	HSat3	111
k16_4118ba0e	chr22	7	7000000	8000000	HSat3	72
k16_4118ba0e	chr22	9	9000000	10000000	HSat3	2
k16_4118ba0e	chr22	10	10000000	11000000	HSat3	2
k16_4118ba0e	chrY	11	11000000	12000000	HSat3	1
