kmer_id	chromosome	total_exact_hits	inside_broad_CenSat	outside_broad_CenSat	fine_HSat3_hits	fine_HSat2_hits	fine_alphaSat_hits	fine_ct_hits	fine_outside_hits
k16_3e476af8	chr1	10	10	0	10	0	0	0	0
k16_3e476af8	chr2	2	2	0	2	0	0	0	0
k16_3e476af8	chr3	1	1	0	1	0	0	0	0
k16_3e476af8	chr4	2	2	0	2	0	0	0	0
k16_3e476af8	chr5	178	178	0	178	0	0	0	0
k16_3e476af8	chr6	0	0	0	0	0	0	0	0
k16_3e476af8	chr7	31	31	0	31	0	0	0	0
k16_3e476af8	chr8	0	0	0	0	0	0	0	0
k16_3e476af8	chr9	29581	29581	0	29581	0	0	0	0
k16_3e476af8	chr10	50	50	0	50	0	0	0	0
k16_3e476af8	chr11	0	0	0	0	0	0	0	0
k16_3e476af8	chr12	0	0	0	0	0	0	0	0
k16_3e476af8	chr13	5	5	0	5	0	0	0	0
k16_3e476af8	chr14	30	30	0	30	0	0	0	0
k16_3e476af8	chr15	4	4	0	4	0	0	0	0
k16_3e476af8	chr16	0	0	0	0	0	0	0	0
k16_3e476af8	chr17	11	11	0	11	0	0	0	0
k16_3e476af8	chr18	0	0	0	0	0	0	0	0
k16_3e476af8	chr19	0	0	0	0	0	0	0	0
k16_3e476af8	chr20	37	37	0	37	0	0	0	0
k16_3e476af8	chr21	20	20	0	20	0	0	0	0
k16_3e476af8	chr22	64	64	0	64	0	0	0	0
k16_3e476af8	chrX	0	0	0	0	0	0	0	0
k16_3e476af8	chrY	0	0	0	0	0	0	0	0
k16_a0d0562c	chr1	15	15	0	15	0	0	0	0
k16_a0d0562c	chr2	0	0	0	0	0	0	0	0
k16_a0d0562c	chr3	1	1	0	1	0	0	0	0
k16_a0d0562c	chr4	4	4	0	4	0	0	0	0
k16_a0d0562c	chr5	23	23	0	23	0	0	0	0
k16_a0d0562c	chr6	0	0	0	0	0	0	0	0
k16_a0d0562c	chr7	14	14	0	14	0	0	0	0
k16_a0d0562c	chr8	0	0	0	0	0	0	0	0
k16_a0d0562c	chr9	17852	17852	0	17852	0	0	0	0
k16_a0d0562c	chr10	57	57	0	57	0	0	0	0
k16_a0d0562c	chr11	0	0	0	0	0	0	0	0
k16_a0d0562c	chr12	0	0	0	0	0	0	0	0
k16_a0d0562c	chr13	56	56	0	56	0	0	0	0
k16_a0d0562c	chr14	58	58	0	58	0	0	0	0
k16_a0d0562c	chr15	7	7	0	7	0	0	0	0
k16_a0d0562c	chr16	0	0	0	0	0	0	0	0
k16_a0d0562c	chr17	4	4	0	4	0	0	0	0
k16_a0d0562c	chr18	0	0	0	0	0	0	0	0
k16_a0d0562c	chr19	0	0	0	0	0	0	0	0
k16_a0d0562c	chr20	36	36	0	36	0	0	0	0
k16_a0d0562c	chr21	18	18	0	18	0	0	0	0
k16_a0d0562c	chr22	7	7	0	7	0	0	0	0
k16_a0d0562c	chrX	0	0	0	0	0	0	0	0
k16_a0d0562c	chrY	0	0	0	0	0	0	0	0
k16_4118ba0e	chr1	59	59	0	59	0	0	0	0
k16_4118ba0e	chr2	10	10	0	10	0	0	0	0
k16_4118ba0e	chr3	0	0	0	0	0	0	0	0
k16_4118ba0e	chr4	9	9	0	9	0	0	0	0
k16_4118ba0e	chr5	139	139	0	139	0	0	0	0
k16_4118ba0e	chr6	0	0	0	0	0	0	0	0
k16_4118ba0e	chr7	124	124	0	124	0	0	0	0
k16_4118ba0e	chr8	0	0	0	0	0	0	0	0
k16_4118ba0e	chr9	12853	12853	0	12853	0	0	0	0
k16_4118ba0e	chr10	55	55	0	55	0	0	0	0
k16_4118ba0e	chr11	0	0	0	0	0	0	0	0
k16_4118ba0e	chr12	0	0	0	0	0	0	0	0
k16_4118ba0e	chr13	91	91	0	91	0	0	0	0
k16_4118ba0e	chr14	245	245	0	245	0	0	0	0
k16_4118ba0e	chr15	91	91	0	91	0	0	0	0
k16_4118ba0e	chr16	0	0	0	0	0	0	0	0
k16_4118ba0e	chr17	45	45	0	45	0	0	0	0
k16_4118ba0e	chr18	0	0	0	0	0	0	0	0
k16_4118ba0e	chr19	0	0	0	0	0	0	0	0
k16_4118ba0e	chr20	335	335	0	335	0	0	0	0
k16_4118ba0e	chr21	181	181	0	181	0	0	0	0
k16_4118ba0e	chr22	187	187	0	187	0	0	0	0
k16_4118ba0e	chrX	0	0	0	0	0	0	0	0
k16_4118ba0e	chrY	1	1	0	1	0	0	0	0
