query_index	kmer_id	region	exact_distance	query_position_1based	weighted_count
0	k16_00c14d34	HSat2	1	1	18094
0	k16_00c14d34	HSat2	1	2	2154
0	k16_00c14d34	HSat2	1	3	23118
0	k16_00c14d34	HSat2	1	4	89607
0	k16_00c14d34	HSat2	1	5	3789
0	k16_00c14d34	HSat2	1	6	129684
0	k16_00c14d34	HSat2	1	7	7317
0	k16_00c14d34	HSat2	1	8	210311
0	k16_00c14d34	HSat2	1	9	48717
0	k16_00c14d34	HSat2	1	10	4833
0	k16_00c14d34	HSat2	1	11	6895
0	k16_00c14d34	HSat2	1	12	15596
0	k16_00c14d34	HSat2	1	13	6912
0	k16_00c14d34	HSat2	1	14	5618
0	k16_00c14d34	HSat2	1	15	18205
0	k16_00c14d34	HSat2	1	16	6221
0	k16_00c14d34	HSat2	2	1	4916
0	k16_00c14d34	HSat2	2	2	2380
0	k16_00c14d34	HSat2	2	3	39227
0	k16_00c14d34	HSat2	2	4	123841
0	k16_00c14d34	HSat2	2	5	71562
0	k16_00c14d34	HSat2	2	6	27961
0	k16_00c14d34	HSat2	2	7	1728
0	k16_00c14d34	HSat2	2	8	232692
0	k16_00c14d34	HSat2	2	9	7628
0	k16_00c14d34	HSat2	2	10	951
0	k16_00c14d34	HSat2	2	11	4096
0	k16_00c14d34	HSat2	2	12	5480
0	k16_00c14d34	HSat2	2	13	3309
0	k16_00c14d34	HSat2	2	14	1314
0	k16_00c14d34	HSat2	2	15	3600
0	k16_00c14d34	HSat2	2	16	1521
0	k16_00c14d34	HSat3	1	1	0
0	k16_00c14d34	HSat3	1	2	0
0	k16_00c14d34	HSat3	1	3	0
0	k16_00c14d34	HSat3	1	4	0
0	k16_00c14d34	HSat3	1	5	0
0	k16_00c14d34	HSat3	1	6	0
0	k16_00c14d34	HSat3	1	7	0
0	k16_00c14d34	HSat3	1	8	0
0	k16_00c14d34	HSat3	1	9	0
0	k16_00c14d34	HSat3	1	10	0
0	k16_00c14d34	HSat3	1	11	0
0	k16_00c14d34	HSat3	1	12	0
0	k16_00c14d34	HSat3	1	13	0
0	k16_00c14d34	HSat3	1	14	0
0	k16_00c14d34	HSat3	1	15	0
0	k16_00c14d34	HSat3	1	16	0
0	k16_00c14d34	HSat3	2	1	0
0	k16_00c14d34	HSat3	2	2	0
0	k16_00c14d34	HSat3	2	3	0
0	k16_00c14d34	HSat3	2	4	0
0	k16_00c14d34	HSat3	2	5	0
0	k16_00c14d34	HSat3	2	6	0
0	k16_00c14d34	HSat3	2	7	0
0	k16_00c14d34	HSat3	2	8	0
0	k16_00c14d34	HSat3	2	9	0
0	k16_00c14d34	HSat3	2	10	0
0	k16_00c14d34	HSat3	2	11	0
0	k16_00c14d34	HSat3	2	12	0
0	k16_00c14d34	HSat3	2	13	0
0	k16_00c14d34	HSat3	2	14	0
0	k16_00c14d34	HSat3	2	15	0
0	k16_00c14d34	HSat3	2	16	0
0	k16_00c14d34	HSat23	1	1	18094
0	k16_00c14d34	HSat23	1	2	2154
0	k16_00c14d34	HSat23	1	3	23118
0	k16_00c14d34	HSat23	1	4	89607
0	k16_00c14d34	HSat23	1	5	3789
0	k16_00c14d34	HSat23	1	6	129684
0	k16_00c14d34	HSat23	1	7	7317
0	k16_00c14d34	HSat23	1	8	210311
0	k16_00c14d34	HSat23	1	9	48717
0	k16_00c14d34	HSat23	1	10	4833
0	k16_00c14d34	HSat23	1	11	6895
0	k16_00c14d34	HSat23	1	12	15596
0	k16_00c14d34	HSat23	1	13	6912
0	k16_00c14d34	HSat23	1	14	5618
0	k16_00c14d34	HSat23	1	15	18205
0	k16_00c14d34	HSat23	1	16	6221
0	k16_00c14d34	HSat23	2	1	4916
0	k16_00c14d34	HSat23	2	2	2380
0	k16_00c14d34	HSat23	2	3	39227
0	k16_00c14d34	HSat23	2	4	123841
0	k16_00c14d34	HSat23	2	5	71562
0	k16_00c14d34	HSat23	2	6	27961
0	k16_00c14d34	HSat23	2	7	1728
