kmer_id	target_family	chromosome	total_exact_hits	inside_broad_CenSat	outside_broad_CenSat	fine_HSat3_hits	fine_HSat2_hits	fine_alphaSat_hits	fine_ct_hits	fine_outside_hits
k16_00c14d34	HSat2	chr1	7244	7244	0	0	7244	0	0	0
k16_00c14d34	HSat2	chr2	2	0	2	0	0	0	0	2
k16_00c14d34	HSat2	chr3	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr4	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr5	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr6	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr7	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr8	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr9	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr10	69	67	2	0	67	0	0	2
k16_00c14d34	HSat2	chr11	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr12	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr13	2	0	2	0	0	0	0	2
k16_00c14d34	HSat2	chr14	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr15	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr16	3	0	3	0	0	0	0	3
k16_00c14d34	HSat2	chr17	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr18	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr19	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chr20	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr21	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chr22	0	0	0	0	0	0	0	0
k16_00c14d34	HSat2	chrX	1	0	1	0	0	0	0	1
k16_00c14d34	HSat2	chrY	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr1	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr2	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr3	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr4	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr5	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr6	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr7	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr8	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr9	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr10	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr11	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr12	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr13	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr14	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr15	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr16	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr17	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr18	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr19	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr20	36	36	0	36	0	0	0	0
k16_0320c806	HSat3	chr21	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chr22	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chrX	0	0	0	0	0	0	0	0
k16_0320c806	HSat3	chrY	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr1	6756	6756	0	0	6756	0	0	0
k16_0534d0fa	HSat2	chr2	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr3	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr4	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr5	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr6	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr7	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr8	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr9	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr10	58	58	0	0	58	0	0	0
k16_0534d0fa	HSat2	chr11	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr12	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr13	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr14	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr15	0	0	0	0	0	0	0	0
k16_0534d0fa	HSat2	chr16	0	0	0	0	0	0	0	0
