kmer_id	chromosome	bin_100kb	bin_start_0based	outside_broad_CenSat	exact_hits
k16_00c14d34	chr1	1269	126900000	0	34
k16_00c14d34	chr1	1270	127000000	0	38
k16_00c14d34	chr1	1271	127100000	0	35
k16_00c14d34	chr1	1272	127200000	0	9
k16_00c14d34	chr1	1273	127300000	0	26
k16_00c14d34	chr1	1274	127400000	0	47
k16_00c14d34	chr1	1287	128700000	0	11
k16_00c14d34	chr1	1290	129000000	0	35
k16_00c14d34	chr1	1291	129100000	0	32
k16_00c14d34	chr1	1292	129200000	0	31
k16_00c14d34	chr1	1293	129300000	0	26
k16_00c14d34	chr1	1294	129400000	0	11
k16_00c14d34	chr1	1295	129500000	0	21
k16_00c14d34	chr1	1296	129600000	0	30
k16_00c14d34	chr1	1297	129700000	0	50
k16_00c14d34	chr1	1298	129800000	0	48
k16_00c14d34	chr1	1299	129900000	0	55
k16_00c14d34	chr1	1300	130000000	0	63
k16_00c14d34	chr1	1301	130100000	0	70
k16_00c14d34	chr1	1302	130200000	0	55
k16_00c14d34	chr1	1303	130300000	0	50
k16_00c14d34	chr1	1304	130400000	0	50
k16_00c14d34	chr1	1305	130500000	0	47
k16_00c14d34	chr1	1306	130600000	0	60
k16_00c14d34	chr1	1307	130700000	0	58
k16_00c14d34	chr1	1308	130800000	0	51
k16_00c14d34	chr1	1309	130900000	0	60
k16_00c14d34	chr1	1310	131000000	0	71
k16_00c14d34	chr1	1311	131100000	0	56
k16_00c14d34	chr1	1312	131200000	0	57
k16_00c14d34	chr1	1313	131300000	0	54
k16_00c14d34	chr1	1314	131400000	0	56
k16_00c14d34	chr1	1315	131500000	0	58
k16_00c14d34	chr1	1316	131600000	0	56
k16_00c14d34	chr1	1317	131700000	0	56
k16_00c14d34	chr1	1318	131800000	0	55
k16_00c14d34	chr1	1319	131900000	0	73
k16_00c14d34	chr1	1320	132000000	0	57
k16_00c14d34	chr1	1321	132100000	0	49
k16_00c14d34	chr1	1322	132200000	0	55
k16_00c14d34	chr1	1323	132300000	0	73
k16_00c14d34	chr1	1324	132400000	0	67
k16_00c14d34	chr1	1325	132500000	0	58
k16_00c14d34	chr1	1326	132600000	0	56
k16_00c14d34	chr1	1327	132700000	0	58
k16_00c14d34	chr1	1328	132800000	0	54
k16_00c14d34	chr1	1329	132900000	0	66
k16_00c14d34	chr1	1330	133000000	0	54
k16_00c14d34	chr1	1331	133100000	0	54
k16_00c14d34	chr1	1332	133200000	0	49
k16_00c14d34	chr1	1333	133300000	0	57
k16_00c14d34	chr1	1334	133400000	0	55
k16_00c14d34	chr1	1335	133500000	0	52
k16_00c14d34	chr1	1336	133600000	0	48
k16_00c14d34	chr1	1337	133700000	0	57
k16_00c14d34	chr1	1338	133800000	0	58
k16_00c14d34	chr1	1339	133900000	0	74
k16_00c14d34	chr1	1340	134000000	0	59
k16_00c14d34	chr1	1341	134100000	0	52
k16_00c14d34	chr1	1342	134200000	0	53
k16_00c14d34	chr1	1343	134300000	0	56
k16_00c14d34	chr1	1344	134400000	0	77
k16_00c14d34	chr1	1345	134500000	0	56
k16_00c14d34	chr1	1346	134600000	0	51
k16_00c14d34	chr1	1347	134700000	0	55
k16_00c14d34	chr1	1348	134800000	0	53
