hap	HSat2_chromosomes	HSat3_chromosomes
HG00096_hap1	chr9,chr10,chr17	chr3,chr4,chr5,chr9,chr10,chr17,chr20
HG00096_hap2	chr1,chr7,chr9,chr10,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG00097_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00097_hap2	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr20
HG00099_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00099_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00126_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00128_hap1	chr2,chr7,chr9,chr10	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG00128_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00133_hap1	chr1,chr2,chr7,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr16,chr17,chr20
HG00133_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00140_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr4,chr7,chr10,chr16,chr17,chr20
HG00140_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00146_hap1	chr2,chr7,chr10,chr16	chr2,chr4,chr5,chr7,chr10,chr16,chr20
HG00146_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00171_hap1	chr1,chr7,chr9,chr10,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG00171_hap2	chr1,chr7,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00232_hap1	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG00232_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG00235_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00235_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00253_hap1	chr1,chr2,chr7,chr10	chr2,chr3,chr7,chr10
HG00253_hap2	chr2,chr7,chr10	chr2,chr7,chr10
HG00268_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG00268_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00272_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00280_hap1	chr7,chr9,chr10	chr4,chr5,chr7,chr9,chr10,chr20
HG00280_hap2	chr7,chr9,chr10,chr16	chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00290_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00290_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr10,chr16,chr17,chr20
HG00320_hap1	chr1,chr7,chr9,chr10,chr17	chr1,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG00320_hap2	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
