sample	hap	chromosome	t2t_pass	in_filtered_fasta	status	HSat2_raw_regions	HSat3_raw_regions
CHM13	chm13v2.0	chr1	1	1	PASS	7	4
CHM13	chm13v2.0	chr10	1	1	PASS	4	6
CHM13	chm13v2.0	chr11	1	1	PASS	0	0
CHM13	chm13v2.0	chr12	1	1	PASS	0	0
CHM13	chm13v2.0	chr13	1	1	PASS	0	16
CHM13	chm13v2.0	chr14	1	1	PASS	0	26
CHM13	chm13v2.0	chr15	1	1	PASS	0	14
CHM13	chm13v2.0	chr16	1	1	PASS	19	5
CHM13	chm13v2.0	chr17	1	1	PASS	2	5
CHM13	chm13v2.0	chr18	1	1	PASS	0	0
CHM13	chm13v2.0	chr19	1	1	PASS	0	0
CHM13	chm13v2.0	chr2	1	1	PASS	11	4
CHM13	chm13v2.0	chr20	1	1	PASS	0	3
CHM13	chm13v2.0	chr21	1	1	PASS	0	18
CHM13	chm13v2.0	chr22	1	1	PASS	6	22
CHM13	chm13v2.0	chr3	1	1	PASS	0	1
CHM13	chm13v2.0	chr4	1	1	PASS	0	2
CHM13	chm13v2.0	chr5	1	1	PASS	0	1
CHM13	chm13v2.0	chr6	1	1	PASS	0	0
CHM13	chm13v2.0	chr7	1	1	PASS	21	18
CHM13	chm13v2.0	chr8	1	1	PASS	0	0
CHM13	chm13v2.0	chr9	1	1	PASS	1	242
CHM13	chm13v2.0	chrX	1	1	PASS	0	0
CHM13	chm13v2.0	chrY	1	1	PASS	1	49
HG00096	HG00096_hap1	chr10	1	1	PASS	3	6
HG00096	HG00096_hap1	chr11	1	1	PASS	0	0
HG00096	HG00096_hap1	chr12	1	1	PASS	0	0
HG00096	HG00096_hap1	chr17	1	1	PASS	2	5
HG00096	HG00096_hap1	chr18	1	1	PASS	0	0
HG00096	HG00096_hap1	chr19	1	1	PASS	0	0
HG00096	HG00096_hap1	chr20	1	1	PASS	0	3
HG00096	HG00096_hap1	chr3	1	1	PASS	0	1
HG00096	HG00096_hap1	chr4	1	1	PASS	0	2
HG00096	HG00096_hap1	chr5	1	1	PASS	0	1
HG00096	HG00096_hap1	chr6	1	1	PASS	0	0
HG00096	HG00096_hap1	chr8	1	1	PASS	0	0
HG00096	HG00096_hap1	chr9	1	1	PASS	1	134
HG00096	HG00096_hap2	chr1	1	1	PASS	9	5
HG00096	HG00096_hap2	chr10	1	1	PASS	4	6
HG00096	HG00096_hap2	chr11	1	1	PASS	0	0
HG00096	HG00096_hap2	chr12	1	1	PASS	0	0
HG00096	HG00096_hap2	chr17	1	1	PASS	2	5
HG00096	HG00096_hap2	chr18	1	1	PASS	0	0
HG00096	HG00096_hap2	chr19	1	1	PASS	0	0
HG00096	HG00096_hap2	chr20	1	1	PASS	0	3
HG00096	HG00096_hap2	chr3	1	1	PASS	0	1
HG00096	HG00096_hap2	chr4	1	1	PASS	0	2
HG00096	HG00096_hap2	chr5	1	1	PASS	0	1
HG00096	HG00096_hap2	chr6	1	1	PASS	0	0
HG00096	HG00096_hap2	chr7	1	1	PASS	23	16
HG00096	HG00096_hap2	chr8	1	1	PASS	0	0
HG00096	HG00096_hap2	chr9	1	1	PASS	1	113
HG00096	HG00096_hap2	chrX	1	1	PASS	0	0
HG00097	HG00097_hap1	chr1	1	1	PASS	7	5
HG00097	HG00097_hap1	chr10	1	1	PASS	4	8
HG00097	HG00097_hap1	chr11	1	1	PASS	0	0
HG00097	HG00097_hap1	chr12	1	1	PASS	0	0
HG00097	HG00097_hap1	chr16	1	1	PASS	20	6
HG00097	HG00097_hap1	chr18	1	1	PASS	0	0
HG00097	HG00097_hap1	chr19	1	1	PASS	0	0
HG00097	HG00097_hap1	chr2	1	1	PASS	11	4
HG00097	HG00097_hap1	chr20	1	1	PASS	0	3
HG00097	HG00097_hap1	chr3	1	1	PASS	0	1
HG00097	HG00097_hap1	chr4	1	1	PASS	0	2
HG00097	HG00097_hap1	chr5	1	1	PASS	0	1
HG00097	HG00097_hap1	chr7	1	1	PASS	22	19
HG00097	HG00097_hap1	chr8	1	1	PASS	0	0
HG00097	HG00097_hap1	chr9	1	1	PASS	1	130
HG00097	HG00097_hap1	chrX	1	1	PASS	0	0
HG00097	HG00097_hap2	chr1	1	1	PASS	8	5
HG00097	HG00097_hap2	chr10	1	1	PASS	3	6
HG00097	HG00097_hap2	chr11	1	1	PASS	0	0
HG00097	HG00097_hap2	chr12	1	1	PASS	0	0
HG00097	HG00097_hap2	chr18	1	1	PASS	0	0
HG00097	HG00097_hap2	chr19	1	1	PASS	0	0
HG00097	HG00097_hap2	chr2	1	1	PASS	11	4
HG00097	HG00097_hap2	chr20	1	1	PASS	0	3
HG00097	HG00097_hap2	chr3	1	1	PASS	0	1
HG00097	HG00097_hap2	chr5	1	1	PASS	0	3
HG00097	HG00097_hap2	chr7	1	1	PASS	22	12
HG00097	HG00097_hap2	chr8	1	1	PASS	0	0
HG00097	HG00097_hap2	chr9	1	1	PASS	1	106
HG00097	HG00097_hap2	chrX	1	1	PASS	0	0
HG00099	HG00099_hap1	chr10	1	1	PASS	3	6
HG00099	HG00099_hap1	chr11	1	1	PASS	0	0
HG00099	HG00099_hap1	chr12	1	1	PASS	0	0
HG00099	HG00099_hap1	chr16	1	1	PASS	20	6
HG00099	HG00099_hap1	chr17	1	1	PASS	2	5
HG00099	HG00099_hap1	chr18	1	1	PASS	0	0
HG00099	HG00099_hap1	chr19	1	1	PASS	0	0
HG00099	HG00099_hap1	chr2	1	1	PASS	11	4
HG00099	HG00099_hap1	chr20	1	1	PASS	0	3
HG00099	HG00099_hap1	chr4	1	1	PASS	0	2
HG00099	HG00099_hap1	chr5	1	1	PASS	0	1
HG00099	HG00099_hap1	chr6	1	1	PASS	0	0
HG00099	HG00099_hap1	chr7	1	1	PASS	22	22
HG00099	HG00099_hap1	chr8	1	1	PASS	0	0
HG00099	HG00099_hap1	chr9	1	1	PASS	1	139
HG00099	HG00099_hap1	chrX	1	1	PASS	0	0
HG00099	HG00099_hap2	chr10	1	1	PASS	4	6
HG00099	HG00099_hap2	chr11	1	1	PASS	0	0
HG00099	HG00099_hap2	chr12	1	1	PASS	0	0
HG00099	HG00099_hap2	chr16	1	1	PASS	19	5
HG00099	HG00099_hap2	chr17	1	1	PASS	2	5
HG00099	HG00099_hap2	chr18	1	1	PASS	0	0
HG00099	HG00099_hap2	chr19	1	1	PASS	0	0
HG00099	HG00099_hap2	chr2	1	1	PASS	11	4
HG00099	HG00099_hap2	chr20	1	1	PASS	0	3
HG00099	HG00099_hap2	chr4	1	1	PASS	0	2
HG00099	HG00099_hap2	chr5	1	1	PASS	0	1
HG00099	HG00099_hap2	chr6	1	1	PASS	0	0
HG00099	HG00099_hap2	chr7	1	1	PASS	25	22
HG00099	HG00099_hap2	chr8	1	1	PASS	0	0
HG00099	HG00099_hap2	chr9	1	1	PASS	1	124
HG00099	HG00099_hap2	chrX	1	1	PASS	0	0
HG00126	HG00126_hap1	chr1	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr10	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr11	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr12	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr16	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr19	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
