kmer_id	target_family	group	chromosome	available_haps	measurable_haps	median_target_hits	mean_target_hits	pooled_target_density_per_M	presence_ge10_fraction
k16_00c14d34	HSat2	G1	chr1	102	102	5559.5	5538.64705882353	468.1215766478085	1.0
k16_00c14d34	HSat2	G1	chr2	128	128	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G1	chr3	107	0				
k16_00c14d34	HSat2	G1	chr4	124	0				
k16_00c14d34	HSat2	G1	chr5	153	0				
k16_00c14d34	HSat2	G1	chr6	131	0				
k16_00c14d34	HSat2	G1	chr7	158	158	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G1	chr8	153	0				
k16_00c14d34	HSat2	G1	chr9	132	125	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G1	chr10	158	158	59.0	71.13924050632912	154.06833404882354	1.0
k16_00c14d34	HSat2	G1	chr11	156	0				
k16_00c14d34	HSat2	G1	chr12	156	0				
k16_00c14d34	HSat2	G1	chr13	0	0				
k16_00c14d34	HSat2	G1	chr14	0	0				
k16_00c14d34	HSat2	G1	chr15	0	0				
k16_00c14d34	HSat2	G1	chr16	127	127	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G1	chr17	109	109	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G1	chr18	103	0				
k16_00c14d34	HSat2	G1	chr19	151	0				
k16_00c14d34	HSat2	G1	chr20	142	0				
k16_00c14d34	HSat2	G1	chr21	0	0				
k16_00c14d34	HSat2	G1	chr22	0	0				
k16_00c14d34	HSat2	G1	chrX	98	0				
k16_00c14d34	HSat2	G1	chrY	1	1	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr1	25	25	5453.0	5355.2	452.98647183376096	1.0
k16_00c14d34	HSat2	G2	chr2	31	31	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr3	23	0				
k16_00c14d34	HSat2	G2	chr4	31	0				
k16_00c14d34	HSat2	G2	chr5	42	0				
k16_00c14d34	HSat2	G2	chr6	35	0				
k16_00c14d34	HSat2	G2	chr7	42	42	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr8	41	0				
k16_00c14d34	HSat2	G2	chr9	33	30	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr10	42	42	32.0	105.23809523809524	443.8046873807652	0.9285714285714286
k16_00c14d34	HSat2	G2	chr11	41	0				
k16_00c14d34	HSat2	G2	chr12	40	0				
k16_00c14d34	HSat2	G2	chr13	0	0				
k16_00c14d34	HSat2	G2	chr14	0	0				
k16_00c14d34	HSat2	G2	chr15	0	0				
k16_00c14d34	HSat2	G2	chr16	32	32	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr17	29	28	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G2	chr18	30	0				
k16_00c14d34	HSat2	G2	chr19	41	0				
k16_00c14d34	HSat2	G2	chr20	42	0				
k16_00c14d34	HSat2	G2	chr21	0	0				
k16_00c14d34	HSat2	G2	chr22	0	0				
k16_00c14d34	HSat2	G2	chrX	29	0				
k16_00c14d34	HSat2	G2	chrY	0	0				
k16_00c14d34	HSat2	G3	chr1	186	186	5794.5	5894.543010752688	472.15516907200765	1.0
k16_00c14d34	HSat2	G3	chr2	239	239	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G3	chr3	204	0				
k16_00c14d34	HSat2	G3	chr4	211	0				
k16_00c14d34	HSat2	G3	chr5	283	0				
k16_00c14d34	HSat2	G3	chr6	222	0				
k16_00c14d34	HSat2	G3	chr7	289	289	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G3	chr8	274	0				
k16_00c14d34	HSat2	G3	chr9	228	224	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G3	chr10	289	289	23.0	23.505190311418684	22.412900550132942	1.0
k16_00c14d34	HSat2	G3	chr11	286	0				
k16_00c14d34	HSat2	G3	chr12	286	0				
k16_00c14d34	HSat2	G3	chr13	0	0				
k16_00c14d34	HSat2	G3	chr14	0	0				
k16_00c14d34	HSat2	G3	chr15	0	0				
k16_00c14d34	HSat2	G3	chr16	242	242	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G3	chr17	172	172	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	G3	chr18	182	0				
k16_00c14d34	HSat2	G3	chr19	277	0				
k16_00c14d34	HSat2	G3	chr20	268	0				
k16_00c14d34	HSat2	G3	chr21	0	0				
k16_00c14d34	HSat2	G3	chr22	0	0				
k16_00c14d34	HSat2	G3	chrX	203	0				
k16_00c14d34	HSat2	G3	chrY	3	3	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr1	45	44	5444.5	5617.795454545455	478.3308091391278	1.0
k16_00c14d34	HSat2	NA	chr2	58	58	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr3	53	0				
