kmer_id	HSat3_group	chromosome	available_haps	HSat3_measurable_haps	median_HSat3_hits	mean_HSat3_hits	pooled_HSat3_density_per_M	presence_ge10_fraction
k16_3e476af8	G1	chr1	40	39	45.0	39.15384615384615	49.27958856868451	0.8717948717948718
k16_3e476af8	G1	chr2	53	53	2.0	1.7358490566037736	28.512110984011834	0.0
k16_3e476af8	G1	chr3	35	35	2.0	1.7428571428571429	8.814770318153961	0.0
k16_3e476af8	G1	chr4	48	48	2.0	2.625	12.460890358306969	0.020833333333333332
k16_3e476af8	G1	chr5	59	59	162.0	196.9322033898305	520.3576553102343	1.0
k16_3e476af8	G1	chr6	40	0				
k16_3e476af8	G1	chr7	59	59	25.0	26.389830508474578	59.24390621061821	0.864406779661017
k16_3e476af8	G1	chr8	53	0				
k16_3e476af8	G1	chr9	49	49	14937.0	14715.918367346938	1030.4256244005885	1.0
k16_3e476af8	G1	chr10	59	59	31.0	32.779661016949156	50.63522730465098	1.0
k16_3e476af8	G1	chr11	57	0				
k16_3e476af8	G1	chr12	58	0				
k16_3e476af8	G1	chr16	45	43	0.0	0.0	0.0	0.0
k16_3e476af8	G1	chr17	42	42	8.0	8.238095238095237	9.231312847965134	0.21428571428571427
k16_3e476af8	G1	chr18	44	0				
k16_3e476af8	G1	chr19	55	0				
k16_3e476af8	G1	chr20	59	59	33.0	29.440677966101696	22.768989061604625	0.9322033898305084
k16_3e476af8	G1	chrX	44	1	3.0	3.0	7.018216951801225	0.0
k16_3e476af8	G2	chr1	35	35	31.0	27.142857142857142	38.69152117670446	0.6857142857142857
k16_3e476af8	G2	chr2	41	39	2.0	1.8205128205128205	30.682946202423604	0.0
k16_3e476af8	G2	chr3	47	47	2.0	1.6808510638297873	9.337789941332675	0.0
k16_3e476af8	G2	chr4	39	39	2.0	2.5641025641025643	11.562216111462538	0.02564102564102564
k16_3e476af8	G2	chr5	54	54	157.5	159.4814814814815	477.28974796363485	1.0
k16_3e476af8	G2	chr6	44	0				
k16_3e476af8	G2	chr7	54	54	25.0	22.35185185185185	55.72572086437011	0.7777777777777778
k16_3e476af8	G2	chr8	53	0				
k16_3e476af8	G2	chr9	47	47	13866.0	14189.127659574468	1023.0338638829872	0.9574468085106383
k16_3e476af8	G2	chr10	54	54	27.0	31.796296296296298	49.68685129648535	1.0
k16_3e476af8	G2	chr11	54	0				
k16_3e476af8	G2	chr12	53	0				
k16_3e476af8	G2	chr16	49	47	0.0	0.0	0.0	0.0
k16_3e476af8	G2	chr17	37	37	7.0	7.513513513513513	9.586207227110595	0.13513513513513514
k16_3e476af8	G2	chr18	35	0				
k16_3e476af8	G2	chr19	54	0				
k16_3e476af8	G2	chr20	54	54	22.0	20.37037037037037	31.46596648216645	0.8888888888888888
k16_3e476af8	G2	chrX	38	0				
k16_3e476af8	G3	chr1	38	38	42.0	34.578947368421055	42.470856152664695	0.7894736842105263
k16_3e476af8	G3	chr2	57	56	2.0	1.9464285714285714	32.390973913379405	0.0
k16_3e476af8	G3	chr3	49	48	2.0	1.5833333333333333	8.945052309135828	0.0
k16_3e476af8	G3	chr4	58	58	2.0	2.4827586206896552	11.535273625101524	0.0
k16_3e476af8	G3	chr5	70	70	156.5	161.77142857142857	469.18913973814904	1.0
k16_3e476af8	G3	chr6	57	0				
k16_3e476af8	G3	chr7	70	70	16.0	18.8	48.72316070253466	0.7
k16_3e476af8	G3	chr8	66	0				
k16_3e476af8	G3	chr9	58	58	15122.0	14854.224137931034	1026.1966580479982	1.0
k16_3e476af8	G3	chr10	70	70	28.0	30.228571428571428	48.216187896934755	1.0
k16_3e476af8	G3	chr11	69	0				
k16_3e476af8	G3	chr12	70	0				
k16_3e476af8	G3	chr16	60	60	0.0	0.0	0.0	0.0
k16_3e476af8	G3	chr17	44	44	7.0	7.636363636363637	9.655963481376018	0.1590909090909091
k16_3e476af8	G3	chr18	38	0				
k16_3e476af8	G3	chr19	66	0				
k16_3e476af8	G3	chr20	70	70	50.0	50.34285714285714	45.58402730509106	1.0
k16_3e476af8	G3	chrX	52	0				
k16_3e476af8	G3	chrY	1	1	0.0	0.0	0.0	0.0
k16_3e476af8	G4	chr1	23	22	48.0	46.68181818181818	52.80011285959859	1.0
k16_3e476af8	G4	chr2	31	31	2.0	1.5806451612903225	26.920029930678176	0.0
k16_3e476af8	G4	chr3	28	28	2.0	1.5714285714285714	8.849521924690569	0.0
k16_3e476af8	G4	chr4	28	28	2.5	2.5	11.49447936576747	0.0
k16_3e476af8	G4	chr5	39	39	299.0	341.97435897435895	541.7171340535648	1.0
k16_3e476af8	G4	chr6	30	0				
k16_3e476af8	G4	chr7	39	39	24.0	23.025641025641026	52.12787373769858	0.8717948717948718
k16_3e476af8	G4	chr8	36	0				
k16_3e476af8	G4	chr9	27	27	14504.0	14649.666666666666	1031.826287555924	1.0
k16_3e476af8	G4	chr10	39	39	29.0	31.846153846153847	50.427978026881526	1.0
k16_3e476af8	G4	chr11	39	0				
k16_3e476af8	G4	chr12	37	0				
k16_3e476af8	G4	chr16	29	29	0.0	0.0	0.0	0.0
k16_3e476af8	G4	chr17	25	25	8.0	8.52	9.506671161432694	0.2
k16_3e476af8	G4	chr18	27	0				
k16_3e476af8	G4	chr19	35	0				
k16_3e476af8	G4	chr20	39	39	24.0	28.17948717948718	32.46055496147916	0.8461538461538461
k16_3e476af8	G4	chrX	30	0				
k16_3e476af8	G4	chrY	1	1	0.0	0.0	0.0	0.0
k16_3e476af8	G5	chr1	31	30	44.5	38.5	47.02145925053168	0.8333333333333334
k16_3e476af8	G5	chr2	39	39	2.0	1.7692307692307692	29.649478706303004	0.0
k16_3e476af8	G5	chr3	26	26	1.5	1.5769230769230769	8.930642668650286	0.0
k16_3e476af8	G5	chr4	40	40	2.5	2.7	12.623342032140664	0.0
k16_3e476af8	G5	chr5	47	47	390.0	371.48936170212767	551.3916085208004	1.0
k16_3e476af8	G5	chr6	37	0				
k16_3e476af8	G5	chr7	47	47	25.0	28.70212765957447	62.911518982536535	0.8297872340425532
k16_3e476af8	G5	chr8	45	0				
k16_3e476af8	G5	chr9	40	40	15286.5	15468.65	1030.7910943565062	1.0
